test_name total_test_iteration time_per_op time_per_op_un size_per_op size_per_op_un allocs_per_op allocs_per_op_un flag1 flag2 exec_time num
BenchmarkHashMapLSGet 500000 2891 ns/op 257 B/op 5 allocs/op ok command-line-arguments 2.477s 1000
BenchmarkHashMapLSGet 500000 2654 ns/op 262 B/op 5 allocs/op ok command-line-arguments 2.355s 1000
BenchmarkHashMapLSGet 500000 2624 ns/op 258 B/op 5 allocs/op ok command-line-arguments 2.318s 1000
BenchmarkHashMapLSGet 500000 2612 ns/op 263 B/op 5 allocs/op ok command-line-arguments 2.270s 1000
BenchmarkHashMapLSGet 500000 2559 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.232s 1000
BenchmarkHashMapLSGet 500000 2550 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.218s 1000
BenchmarkHashMapLSGet 500000 2616 ns/op 266 B/op 5 allocs/op ok command-line-arguments 2.275s 1000
BenchmarkHashMapLSGet 500000 2534 ns/op 264 B/op 5 allocs/op ok command-line-arguments 2.226s 1000
BenchmarkHashMapLSGet 500000 2601 ns/op 256 B/op 5 allocs/op ok command-line-arguments 2.243s 1000
BenchmarkHashMapLSGet 500000 2686 ns/op 258 B/op 5 allocs/op ok command-line-arguments 2.357s 1000
BenchmarkHashMapLSGet 500000 2762 ns/op 264 B/op 5 allocs/op ok command-line-arguments 2.364s 1000
BenchmarkHashMapLSGet 500000 2492 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.273s 1000
BenchmarkHashMapLSGet 500000 2554 ns/op 259 B/op 5 allocs/op ok command-line-arguments 2.203s 1000
BenchmarkHashMapLSGet 500000 2609 ns/op 260 B/op 5 allocs/op ok command-line-arguments 2.294s 1000
BenchmarkHashMapLSGet 500000 2627 ns/op 259 B/op 5 allocs/op ok command-line-arguments 2.263s 1000
BenchmarkHashMapLSGet 500000 2652 ns/op 269 B/op 6 allocs/op ok command-line-arguments 2.376s 10000
BenchmarkHashMapLSGet 500000 2647 ns/op 276 B/op 6 allocs/op ok command-line-arguments 2.338s 10000
BenchmarkHashMapLSGet 500000 2618 ns/op 265 B/op 6 allocs/op ok command-line-arguments 2.339s 10000
BenchmarkHashMapLSGet 500000 2735 ns/op 266 B/op 6 allocs/op ok command-line-arguments 2.410s 10000
BenchmarkHashMapLSGet 500000 2805 ns/op 269 B/op 6 allocs/op ok command-line-arguments 2.380s 10000
BenchmarkHashMapLSGet 500000 2579 ns/op 275 B/op 6 allocs/op ok command-line-arguments 2.279s 10000
BenchmarkHashMapLSGet 500000 2640 ns/op 276 B/op 6 allocs/op ok command-line-arguments 2.313s 10000
BenchmarkHashMapLSGet 500000 2593 ns/op 270 B/op 6 allocs/op ok command-line-arguments 2.270s 10000
BenchmarkHashMapLSGet 500000 2574 ns/op 266 B/op 6 allocs/op ok command-line-arguments 2.293s 10000
BenchmarkHashMapLSGet 500000 2546 ns/op 268 B/op 6 allocs/op ok command-line-arguments 2.266s 10000
BenchmarkHashMapLSGet 500000 2644 ns/op 267 B/op 6 allocs/op ok command-line-arguments 2.287s 10000
BenchmarkHashMapLSGet 500000 2666 ns/op 275 B/op 6 allocs/op ok command-line-arguments 2.322s 10000
BenchmarkHashMapLSGet 500000 2575 ns/op 264 B/op 6 allocs/op ok command-line-arguments 2.263s 10000
BenchmarkHashMapLSGet 500000 2660 ns/op 270 B/op 6 allocs/op ok command-line-arguments 2.322s 10000
BenchmarkHashMapLSGet 500000 2604 ns/op 271 B/op 6 allocs/op ok command-line-arguments 2.277s 10000
BenchmarkHashMapLSGet 500000 2554 ns/op 266 B/op 6 allocs/op ok command-line-arguments 2.242s 10000
BenchmarkHashMapLSGet 500000 2545 ns/op 269 B/op 6 allocs/op ok command-line-arguments 2.286s 10000
BenchmarkHashMapLSGet 500000 2632 ns/op 268 B/op 6 allocs/op ok command-line-arguments 2.326s 10000
BenchmarkHashMapLSGet 500000 2622 ns/op 268 B/op 6 allocs/op ok command-line-arguments 2.289s 10000
BenchmarkHashMapLSGet 500000 2569 ns/op 266 B/op 6 allocs/op ok command-line-arguments 2.272s 10000
BenchmarkHashMapLSGet 500000 2579 ns/op 275 B/op 6 allocs/op ok command-line-arguments 2.287s 10000
