test_name total_test_iteration time_per_op time_per_op_un size_per_op size_per_op_un allocs_per_op allocs_per_op_un flag1 flag2 exec_time num
BenchmarkHashMapGet 500000 2500 ns/op 263 B/op 5 allocs/op ok command-line-arguments 2.169s 1000
BenchmarkHashMapGet 500000 2673 ns/op 266 B/op 5 allocs/op ok command-line-arguments 2.303s 1000
BenchmarkHashMapGet 500000 2622 ns/op 260 B/op 5 allocs/op ok command-line-arguments 2.275s 1000
BenchmarkHashMapGet 500000 2602 ns/op 260 B/op 5 allocs/op ok command-line-arguments 2.189s 1000
BenchmarkHashMapGet 500000 2528 ns/op 266 B/op 5 allocs/op ok command-line-arguments 2.222s 1000
BenchmarkHashMapGet 500000 2478 ns/op 257 B/op 5 allocs/op ok command-line-arguments 2.196s 1000
BenchmarkHashMapGet 500000 2614 ns/op 260 B/op 5 allocs/op ok command-line-arguments 2.304s 1000
BenchmarkHashMapGet 500000 2558 ns/op 257 B/op 5 allocs/op ok command-line-arguments 2.255s 1000
BenchmarkHashMapGet 500000 2601 ns/op 257 B/op 5 allocs/op ok command-line-arguments 2.282s 1000
BenchmarkHashMapGet 500000 2571 ns/op 263 B/op 5 allocs/op ok command-line-arguments 2.225s 1000
BenchmarkHashMapGet 500000 2588 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.276s 1000
BenchmarkHashMapGet 500000 2594 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.236s 1000
BenchmarkHashMapGet 500000 2535 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.219s 1000
BenchmarkHashMapGet 500000 2613 ns/op 262 B/op 5 allocs/op ok command-line-arguments 2.262s 1000
BenchmarkHashMapGet 500000 2631 ns/op 265 B/op 5 allocs/op ok command-line-arguments 2.270s 1000
BenchmarkHashMapGet 500000 2699 ns/op 262 B/op 5 allocs/op ok command-line-arguments 2.315s 1000
BenchmarkHashMapGet 500000 2649 ns/op 267 B/op 5 allocs/op ok command-line-arguments 2.303s 1000
BenchmarkHashMapGet 500000 2661 ns/op 263 B/op 5 allocs/op ok command-line-arguments 2.289s 1000
BenchmarkHashMapGet 500000 2544 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.194s 1000
BenchmarkHashMapGet 500000 2684 ns/op 263 B/op 5 allocs/op ok command-line-arguments 2.331s 1000
BenchmarkHashMapGet 500000 2609 ns/op 259 B/op 5 allocs/op ok command-line-arguments 2.221s 1000
BenchmarkHashMapGet 500000 2506 ns/op 260 B/op 5 allocs/op ok command-line-arguments 2.172s 1000
BenchmarkHashMapGet 500000 2550 ns/op 258 B/op 5 allocs/op ok command-line-arguments 2.215s 1000
BenchmarkHashMapGet 500000 2574 ns/op 258 B/op 5 allocs/op ok command-line-arguments 2.240s 1000
BenchmarkHashMapGet 500000 2598 ns/op 259 B/op 5 allocs/op ok command-line-arguments 2.234s 1000
BenchmarkHashMapGet 500000 2624 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.310s 1000
BenchmarkHashMapGet 500000 2612 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.307s 1000
BenchmarkHashMapGet 500000 2579 ns/op 257 B/op 5 allocs/op ok command-line-arguments 2.202s 1000
BenchmarkHashMapGet 500000 2515 ns/op 264 B/op 5 allocs/op ok command-line-arguments 2.230s 1000
BenchmarkHashMapGet 500000 2594 ns/op 263 B/op 5 allocs/op ok command-line-arguments 2.289s 1000
BenchmarkHashMapGet 500000 2694 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.307s 1000
BenchmarkHashMapGet 500000 2715 ns/op 260 B/op 5 allocs/op ok command-line-arguments 2.361s 1000
BenchmarkHashMapGet 500000 2599 ns/op 259 B/op 5 allocs/op ok command-line-arguments 2.279s 1000
BenchmarkHashMapGet 500000 2607 ns/op 258 B/op 5 allocs/op ok command-line-arguments 2.282s 1000
BenchmarkHashMapGet 500000 2532 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.224s 1000
BenchmarkHashMapGet 500000 2696 ns/op 265 B/op 5 allocs/op ok command-line-arguments 2.282s 1000
BenchmarkHashMapGet 500000 2575 ns/op 257 B/op 5 allocs/op ok command-line-arguments 2.281s 1000
BenchmarkHashMapGet 500000 2515 ns/op 263 B/op 5 allocs/op ok command-line-arguments 2.176s 1000
BenchmarkHashMapGet 500000 2568 ns/op 266 B/op 5 allocs/op ok command-line-arguments 2.218s 1000
BenchmarkHashMapGet 500000 2524 ns/op 259 B/op 5 allocs/op ok command-line-arguments 2.202s 1000
BenchmarkHashMapGet 500000 2476 ns/op 260 B/op 5 allocs/op ok command-line-arguments 2.141s 1000
BenchmarkHashMapGet 500000 2558 ns/op 262 B/op 5 allocs/op ok command-line-arguments 2.233s 1000
